child_id,parent_id,match,date_binary,jac_total,title_similarity,content_similarity,sleutelwoorden_lenmatches,BT_TT_lenmatches,title_no_stop_lenmatches,1st_paragraph_no_stop_lenmatches,numbers_lenmatches
650359,793210,1,0.0,0.0714,0.5342,0.8186,0,0,0,2,0
650361,877835,1,0.0,0.7816,0.22,0.9347,0,4,0,5,1
650358,827070,1,0.0,0.1675,0.4774,0.8863,0,0,0,2,3
650405,725836,1,0.0,0.4964,0.7192,0.851,1,0,0,7,4
650439,778272,1,0.0,0.744,0.6725,0.9361,0,0,1,12,5
650480,704967,1,0.0,0.6857,0.7553,0.8873,0,2,1,4,3
650406,856420,1,0.0,0.1796,0.2595,0.894,0,0,0,5,2
650425,832971,1,0.0,0.6328,0.1833,0.8382,0,0,4,4,1
650423,751074,1,0.0,0.3476,0.0802,0.8979,0,0,1,5,1
650422,736014,1,0.0,0.2048,0.2082,0.7839,0,0,0,5,3
651325,882789,1,0.0,0.1955,0.5682,0.8817,0,0,0,3,1
651284,711066,1,0.0,1.4937,0.4299,0.871,2,0,2,16,15
651094,694988,1,0.0,1.2967,0.1193,0.8857,3,0,2,7,6
651235,785884,1,0.0,0.5852,0.5772,0.896,0,0,1,6,4
651086,751074,1,0.0,0.0524,0.5171,0.6285,0,0,0,1,1
651291,831436,1,0.0,0.5684,0.545,0.8301,0,0,0,5,7
652008,861372,1,0.0,0.9415,0.2332,0.8989,1,1,0,1,7
652012,732117,1,0.0,0.636,0.4518,0.8705,1,1,0,2,4
652016,887488,1,0.0,0.1213,0.306,0.8635,0,0,0,2,2
652058,799939,1,0.0,0.4872,0.1656,0.8812,0,0,2,4,0
652100,738484,1,0.0,0.3583,0.5677,0.8725,0,0,0,6,7
652057,829793,1,0.0,0.6,0.0988,0.8577,0,0,1,0,6
652054,793848,1,0.0,0.2875,0.0835,0.6131,0,0,1,1,2
652056,791809,1,0.0,0.5139,0.6369,0.7654,0,1,1,1,6
652191,727719,1,0.0,0.6729,0.493,0.8628,0,0,1,12,3
652269,681830,1,0.0,0.131,0.2577,0.8044,0,0,0,2,2
652271,904617,1,0.0,1.1863,0.3016,0.7615,0,1,0,5,1
652326,799939,1,0.0,0.359,0.1703,0.8458,0,0,1,5,0
652327,876739,1,0.0,0.9246,0.4751,0.8478,1,2,0,5,2
657795,839575,1,0.0,0.3598,0.1024,0.8679,0,0,2,2,0
657817,795576,1,0.0,0.1602,0.2768,0.8196,0,0,0,5,1
657811,834528,1,0.0,0.0717,0.5717,0.6757,0,0,0,1,1
657792,901707,1,0.0,0.2017,0.4006,0.7401,0,0,1,2,0
657988,912590,1,0.0,0.7056,0.3684,0.8302,0,0,1,7,2
657955,852549,1,0.0,0.3399,0.7287,0.7759,0,0,0,2,4
657959,697330,1,0.0,0.0606,0.609,0.721,0,0,0,0,2
657921,848911,1,0.0,0.1462,0.5644,0.5959,0,0,0,1,4
657936,843512,1,0.0,0.1538,0.4614,0.4386,0,0,0,0,2
657940,834640,1,0.0,0.0455,0.3908,0.6554,0,0,0,0,1
657991,731405,1,0.0,0.6588,0.7731,0.8852,0,1,2,5,4
657945,679005,1,0.0,0.3019,0.6952,0.867,0,1,0,0,7
657669,756188,1,0.0,0.6667,0.391,0.8783,0,0,1,10,3
657935,796980,1,0.0,1.2862,0.4687,0.8264,0,3,2,13,6
657670,698968,1,0.0,1.0667,0.456,0.789,0,0,3,5,2
657673,819762,1,0.0,0.5446,0.3592,0.8282,1,0,2,8,3
657685,843216,1,0.0,0.4864,0.4358,0.8582,0,0,1,6,3
657740,803190,1,0.0,0.0645,0.4965,0.6161,0,0,0,2,0
657999,738570,1,0.0,0.304,0.3832,0.8304,0,0,1,1,1
657822,695159,1,0.0,0.7995,0.5815,0.8563,0,0,1,2,2
658001,778275,1,0.0,0.312,0.6701,0.8491,0,1,0,5,1
657837,694990,1,0.0,0.5365,0.4789,0.9001,0,0,2,4,1
658002,697330,1,0.0,0.1894,0.3414,0.8471,0,0,0,3,4
657961,679197,1,0.0,0.303,0.5622,0.8473,0,0,1,3,0
657989,894059,1,0.0,0.1134,0.3657,0.7846,1,0,0,2,1
657998,793848,1,0.0,0.2375,0.5246,0.8694,0,0,0,5,4
658023,822949,1,0.0,0.3877,0.636,0.8677,0,0,0,7,2
658022,764647,1,0.0,0.8333,0.5165,0.9,0,0,2,9,6
658019,790691,1,0.0,1.235,0.226,0.8947,1,1,2,12,4
658032,741774,1,0.0,0.3717,0.3393,0.8497,0,0,1,4,2
658033,898910,1,0.0,0.3681,0.4258,0.8652,0,0,0,6,2
654876,862347,1,0.0,1.2011,0.4437,0.9481,3,1,0,9,9
658048,834640,1,0.0,0.5513,0.5381,0.8303,0,2,0,2,5
658037,894682,1,0.0,0.1955,0.5295,0.8775,0,0,0,2,3
658009,821207,1,0.0,0.2384,0.4657,0.9074,0,0,0,8,1
658013,720765,1,0.0,0.2389,0.3579,0.8559,0,0,0,5,2
658014,744485,1,0.0,0.8082,0.4429,0.8442,0,2,2,6,0
658057,707975,1,0.0,0.4034,0.5835,0.8824,0,0,1,3,5
658059,782723,1,0.0,0.1301,0.7654,0.8653,0,0,0,1,3
658035,776747,1,0.0,0.2593,0.8235,0.8271,1,0,0,1,4
658060,698966,1,0.0,0.1043,0.8059,0.7557,0,0,0,3,2
658068,694990,1,0.0,0.2317,0.0386,0.8553,0,0,0,4,3
658065,919961,1,0.0,0.1397,0.4552,0.5935,0,0,0,2,2
658062,730366,1,0.0,0.3476,0.5174,0.8283,0,0,1,3,1
658064,718074,1,0.0,0.0866,0.7047,0.7778,0,0,0,2,1
658067,725838,1,0.0,0.1126,0.2176,0.7927,0,0,0,1,2
658089,687851,1,0.0,0.1607,0.1206,0.8475,0,0,0,4,2
658100,796108,1,0.0,0.4589,0.2803,0.8743,0,0,0,5,8
658101,699617,1,0.0,0.562,0.827,0.8879,0,0,3,1,5
658102,718074,1,0.0,0.566,0.5143,0.8787,0,0,1,3,10
658107,812057,1,0.0,0.2505,0.4961,0.8798,0,0,0,2,9
658112,809706,1,0.0,0.475,0.278,0.852,1,1,0,8,4
658113,842917,1,0.0,0.1429,0.3444,0.7969,0,0,0,1,3
658140,720765,1,0.0,0.5056,0.6821,0.8416,0,0,1,5,4
658142,824015,1,0.0,0.7198,0.4832,0.8351,0,0,1,5,5
658168,881622,1,0.0,1.0971,0.4662,0.8899,2,2,1,9,5
658149,681830,1,0.0,0.185,0.0999,0.8497,0,0,0,2,4
658128,718074,1,0.0,0.2222,0.0468,0.8866,0,1,0,0,2
658148,672333,1,0.0,0.1881,0.1539,0.8487,0,0,0,4,1
658110,770235,1,0.0,0.2576,0.1524,0.7665,0,0,1,2,0
658114,701845,1,0.0,0.9619,0.7056,0.9222,0,0,2,5,6
658106,863411,1,0.0,0.4896,0.4077,0.8748,0,0,1,3,5
658167,678389,1,0.0,0.5201,0.4704,0.8579,2,0,1,3,3
658098,799939,1,0.0,0.1868,0.5908,0.8841,1,0,0,3,0
657219,694008,1,0.0,0.3083,0.5308,0.799,0,0,1,1,3
657228,848115,1,0.0,0.2938,0.4887,0.825,1,0,0,3,0
657232,790138,1,0.0,0.3389,0.5921,0.8247,0,0,0,5,3
656541,703223,1,0.0,0.2857,0.3266,0.7177,0,0,0,3,3
656369,861372,1,0.0,0.5317,0.6045,0.8921,1,0,0,5,4
656561,821207,1,0.0,0.4336,0.3932,0.9082,0,0,1,7,2
656467,782723,1,0.0,0.1312,0.2388,0.9005,0,0,0,2,2
656542,825714,1,0.0,0.12,0.2329,0.7602,0,0,0,4,2
656686,706991,1,0.0,1.185,0.184,0.8175,0,1,0,4,2
656720,899594,1,0.0,0.554,0.555,0.8407,0,0,3,3,1
656761,701845,1,0.0,0.8272,0.2543,0.8458,2,1,1,5,2
656748,738484,1,0.0,0.2375,0.4031,0.8581,0,0,0,5,4
656784,893166,1,0.0,0.4217,0.2275,0.8994,0,0,2,1,1
656903,778272,1,0.0,0.2976,0.3247,0.9152,0,0,0,2,6
657055,832411,1,0.0,0.1544,0.3759,0.8397,0,0,0,3,2
657301,901163,1,0.0,0.3187,0.4503,0.8785,0,0,1,1,1
657263,709690,1,0.0,0.1333,0.5434,0.8442,0,0,0,4,0
657334,805365,1,0.0,0.1717,0.4122,0.8302,0,0,0,2,1
657276,720765,1,0.0,0.1333,0.4093,0.7376,0,0,0,3,1
657320,725837,1,0.0,1.2001,0.4841,0.8082,3,0,4,7,1
657296,831438,1,0.0,0.9815,0.4601,0.8381,3,1,2,10,5
661202,842917,1,0.0,0.5714,0.1057,0.8966,1,1,1,4,1
661220,736013,1,0.0,0.1955,0.0853,0.8747,1,0,0,3,2
661082,718074,1,0.0,0.1127,0.2417,0.8273,0,0,0,1,3
661565,677893,1,0.0,0.6881,0.316,0.8684,1,0,2,6,2
661155,830536,1,0.0,0.0946,0.1747,0.8791,0,0,0,1,2
661557,890433,1,0.0,0.4192,0.3962,0.8737,0,0,0,1,4
661560,831438,1,0.0,0.4281,0.4727,0.8415,1,0,1,3,4
661567,730366,1,0.0,0.7899,0.3106,0.8939,0,1,0,6,7
661572,865541,1,0.0,0.3677,0.3385,0.8566,0,1,0,2,2
661654,863411,1,0.0,0.4581,0.3294,0.8484,0,0,0,8,7
661593,797088,1,0.0,0.3169,0.4429,0.7533,0,0,1,2,2
661735,831437,1,0.0,0.8092,0.4526,0.8991,0,1,0,15,13
661736,697330,1,0.0,0.1818,0.1951,0.8324,0,0,0,4,3
661712,818336,1,0.0,0.0476,0.1969,0.7876,0,0,0,0,1
661799,857694,1,0.0,0.2436,0.2659,0.8723,0,0,0,3,1
661979,848117,1,0.0,0.4404,0.1946,0.8505,0,0,1,5,2
661976,672333,1,0.0,0.1511,0.379,0.7477,0,0,0,3,1
662295,831437,1,0.0,0.4874,0.2508,0.8776,0,2,0,7,5
661800,825714,1,0.0,0.3887,0.2033,0.7536,0,0,1,2,8
662441,728606,1,0.0,0.5117,0.4159,0.8303,0,0,0,7,6
662121,883791,1,0.0,0.8689,0.4006,0.9126,1,1,1,6,8
662119,913309,1,0.0,0.7092,0.5935,0.8745,0,0,2,6,2
662122,667321,1,0.0,1.0881,0.2269,0.8827,5,1,0,8,3
661890,800914,1,0.0,0.3701,0.3493,0.7023,0,0,1,0,5
662585,879348,1,0.0,0.0714,0.4737,0.6137,0,0,0,2,0
662127,687852,1,0.0,0.0911,0.3508,0.5933,0,0,0,1,1
663642,720565,1,0.0,0.94,0.6007,0.8155,1,0,2,12,3
662628,843513,1,0.0,0.3388,0.5014,0.7637,0,0,0,3,5
663400,740543,1,0.0,0.2389,0.6082,0.8678,0,0,0,5,2
663405,674655,1,0.0,1.0817,0.6512,0.9274,1,0,5,7,10
663231,778272,1,0.0,0.5536,0.6171,0.8305,0,0,1,4,5
663817,669767,1,0.0,1.5775,0.3852,0.9248,3,2,3,14,16
663953,744485,1,0.0,0.7306,0.2865,0.8398,0,2,1,5,2
664216,829715,1,0.0,0.3477,0.4935,0.848,0,0,0,1,4
664584,694989,1,0.0,2.0431,0.2557,0.8738,5,3,3,8,17
664949,686636,1,0.0,0.2581,0.3835,0.8846,0,0,0,8,1
664950,779758,1,0.0,0.532,0.5576,0.8507,0,1,1,7,0
664219,786576,1,0.0,0.2902,0.2179,0.695,0,0,0,3,6
664228,919463,1,0.0,0.0909,0.3679,0.4191,0,0,0,0,1
665043,724637,1,0.0,1.1899,0.5465,0.8686,2,0,3,10,10
665421,711066,1,0.0,1.0578,0.5288,0.9153,1,0,2,9,10
665446,760547,1,0.0,0.5911,0.5653,0.8621,1,0,1,5,2
665201,683413,1,0.0,0.5942,0.5623,0.9141,1,0,3,3,3
665594,816791,1,0.0,0.7412,0.5576,0.8513,1,1,0,10,2
665693,852422,1,0.0,0.479,0.4981,0.8174,1,0,1,5,2
664718,842917,1,0.0,0.1071,0.497,0.7706,0,0,0,1,2
664837,720566,1,0.0,0.7,0.6918,0.8916,0,0,1,7,9
665051,671437,1,0.0,1.627,0.5246,0.8825,2,1,2,10,5
665052,736012,1,0.0,0.2463,0.7387,0.8068,0,0,0,2,4
665053,785884,1,0.0,0.3634,0.457,0.8251,0,0,0,3,4
665101,785884,1,0.0,0.7102,0.5746,0.8888,0,0,2,6,4
665097,707975,1,0.0,0.565,0.7908,0.8368,0,1,1,4,4
665089,715672,1,0.0,1.0986,0.8213,0.8231,4,1,1,4,3
665073,789683,1,0.0,0.5814,0.5614,0.8167,0,0,1,4,4
665091,692910,1,0.0,0.4632,0.41,0.7074,2,0,0,3,2
665074,827065,1,0.0,0.2317,0.6651,0.8416,0,0,0,5,3
665085,894059,1,0.0,0.6846,0.4548,0.8533,3,0,1,8,5
665096,686636,1,0.0,0.7439,0.5244,0.8906,0,1,2,8,1
665317,829715,1,0.0,0.6496,0.5118,0.8677,1,0,1,4,3
665196,679197,1,0.0,0.553,0.81,0.9474,0,0,1,3,1
665354,679003,1,0.0,0.1255,0.7825,0.7793,0,0,0,1,2
665234,711065,1,0.0,0.3058,0.6915,0.7537,0,0,0,2,7
664842,782725,1,0.0,0.4631,0.0,0.8317,0,1,1,5,2
665099,856420,1,0.0,0.2811,0.7769,0.7885,0,0,0,3,9
664770,785884,1,0.0,0.1656,0.5204,0.4095,0,0,0,1,2
665198,812057,1,0.0,0.1155,0.7247,0.6382,0,0,0,1,4
665041,887488,1,0.0,0.2607,0.5848,0.4835,0,0,1,1,1
665044,740543,1,0.0,0.1833,0.6032,0.4314,0,0,0,3,2
665104,792430,1,0.0,0.2,0.2131,0.8689,0,0,0,10,0
665979,732718,1,0.0,0.4286,0.2645,0.8482,0,0,1,3,5
665359,919961,1,0.0,0.2825,0.5317,0.6567,0,0,0,2,5
665978,682512,1,0.0,0.3182,0.6947,0.7111,0,0,0,4,7
665200,809536,1,0.0,0.1633,0.6187,0.7328,0,0,0,2,1
666381,796980,1,0.0,0.5926,0.5499,0.845,0,1,1,5,6
666800,803095,1,0.0,0.5444,0.8382,0.812,1,0,1,8,8
666856,796108,1,0.0,0.2618,0.4038,0.8605,0,0,0,2,5
666260,741774,1,0.0,0.1818,0.2625,0.6783,0,0,0,0,4
657720,919961,1,0.0,1.0766,0.3915,0.9154,1,1,3,11,4
657764,683413,1,0.0,0.7289,0.7427,0.905,1,0,2,8,5
657757,805365,1,0.0,0.4495,0.3591,0.726,0,0,1,2,2
657765,797090,1,0.0,0.1337,0.3421,0.6237,0,0,0,1,3
657755,706870,1,0.0,0.3519,0.7434,0.6092,0,0,1,2,3
657772,851710,1,0.0,0.3115,0.3888,0.7847,0,0,0,5,8
657789,802537,1,0.0,0.439,0.368,0.8307,0,0,1,7,4
657788,785884,1,0.0,0.7102,0.332,0.8366,0,0,2,6,4
657794,848911,1,0.0,1.7435,0.4653,0.9733,4,1,3,16,10
