c,p,%,sleutelwoorden,BT_TT,titel,1st_para,getallen
650330,648543,0.8967,['sector'],[''],"['aanvullende', 'vaker']","['tijd', 'aanvullende', 'zien', 'gestegen', 'groei']","['3', '10', '2020', '4']"
650330,647933,0.8730,[''],[''],"['post', 'coronatijd']","['teken', 'periode', 'coronamaatregelen', 'post', 'vorig']","['2020', '12 procent', '3 procent', '9 procent']"
650330,648027,0.8638,[''],[''],"['oktober', 'lager']","['lag', 'oktober', 'lager']","['2018', '2', '4 procent', '8', '2020', '12 procent', '2017', '7']"
650330,283033,0.7691,"['school', 'hoger', 'onderwijs', 'voortgezet']","['onderwijs', 'voortgezet']","['kozen', 'schei']","['duits', 'deel', 'kozen', 'scheikunde', 'samen', 'naast', 'tweede', 'gekozen', 'vakken', 'leerlingen', 'groot', 'engels']","['2', '1000', '8', '100', '10', '17', '6', '2017', '7', '4']"
650330,648544,0.7622,[''],[''],[''],"['periode', 'vaker', 'gaan', 'werken', 'gestegen', 'lager', 'uren', 'jaren']","['2', '5', '2020', '39', '6', '2017', '4', '12']"
