child_id,parent_id,title_similarity,content_similarity,match,date_binary,jac_total,sleutelwoorden_lenmatches,BT_TT_lenmatches,title_no_stop_lenmatches,1st_paragraph_no_stop_lenmatches,numbers_lenmatches
650359,793210,0.4408369362354278,0.9226616024971008,1,0.0,0.0714,0,0,0,2,0
650361,877835,0.4146131873130798,0.9466010928153992,1,0.0,0.7816,0,4,0,5,1
650358,827070,0.4937769174575805,0.9455904960632324,1,0.0,0.1675,0,0,0,2,3
650405,725836,0.6320319175720215,0.8838409185409546,1,0.0,0.4964,1,0,0,7,4
650439,778272,0.3300485610961914,0.9409942030906676,1,0.0,0.744,0,0,1,12,5
650480,704967,0.6288577914237976,0.91793292760849,1,0.0,0.6857,0,2,1,4,3
650406,856420,0.2412786483764648,0.8626977801322937,1,0.0,0.1796,0,0,0,5,2
650425,832971,0.2376304417848587,0.8818548917770386,1,0.0,0.6328,0,0,4,4,1
650423,751074,0.2025688141584396,0.8738948702812195,1,0.0,0.3476,0,0,1,5,1
650422,736014,0.2220088839530944,0.8332309126853943,1,0.0,0.2048,0,0,0,5,3
651325,882789,0.3265561163425445,0.8423308730125427,1,0.0,0.1955,0,0,0,3,1
651284,711066,0.5364830493927002,0.8712462782859802,1,0.0,1.4937,2,0,2,16,15
651094,694988,0.2786049246788025,0.8845251798629761,1,0.0,1.2967,3,0,2,7,6
651235,785884,0.6339810490608215,0.937950074672699,1,0.0,0.5852,0,0,1,6,4
651086,751074,0.5056827068328857,0.817495584487915,1,0.0,0.0524,0,0,0,1,1
651291,831436,0.5606387257575989,0.864670991897583,1,0.0,0.5684,0,0,0,5,7
652008,861372,0.5154997110366821,0.9349169731140136,1,0.0,0.9415,1,1,0,1,7
652012,732117,0.3650463819503784,0.8856600522994995,1,0.0,0.636,1,1,0,2,4
652016,887488,-0.0512910895049572,0.9163342118263244,1,0.0,0.1213,0,0,0,2,2
652058,799939,0.1762658655643463,0.8356839418411255,1,0.0,0.4872,0,0,2,4,0
652100,738484,0.2975058555603027,0.8989658355712891,1,0.0,0.3583,0,0,0,6,7
652057,829793,0.4449917674064636,0.9000528454780579,1,0.0,0.6,0,0,1,0,6
652054,793848,0.3441972732543945,0.8723946809768677,1,0.0,0.2875,0,0,1,1,2
652056,791809,0.6886805891990662,0.8827016949653625,1,0.0,0.5139,0,1,1,1,6
652191,727719,0.366480141878128,0.9205725789070128,1,0.0,0.6729,0,0,1,12,3
652269,681830,0.033074926584959,0.8840137720108032,1,0.0,0.131,0,0,0,2,2
652271,904617,0.1987008899450302,0.8958497643470764,1,0.0,1.1863,0,1,0,5,1
652326,799939,0.1076631769537925,0.8376259803771973,1,0.0,0.359,0,0,1,5,0
652327,876739,0.4311466515064239,0.8464995622634888,1,0.0,0.9246,1,2,0,5,2
657795,839575,0.1284951865673065,0.9515942931175232,1,0.0,0.3598,0,0,2,2,0
657817,795576,0.3355695903301239,0.8354988098144531,1,0.0,0.1602,0,0,0,5,1
657811,834528,0.4640916585922241,0.8447713255882263,1,0.0,0.0717,0,0,0,1,1
657792,901707,0.4417716562747955,0.7887896299362183,1,0.0,0.2017,0,0,1,2,0
657988,912590,0.677101731300354,0.8591299057006836,1,0.0,0.7056,0,0,1,7,2
657955,852549,0.7102993130683899,0.8691514730453491,1,0.0,0.3399,0,0,0,2,4
657959,697330,0.6062858700752258,0.839146614074707,1,0.0,0.0606,0,0,0,0,2
657921,848911,0.54712975025177,0.85611891746521,1,0.0,0.1462,0,0,0,1,4
657936,843512,0.5394600629806519,0.7391244173049927,1,0.0,0.1538,0,0,0,0,2
657940,834640,0.4936525225639343,0.8029025197029114,1,0.0,0.0455,0,0,0,0,1
657991,731405,0.6498318910598755,0.9149264693260192,1,0.0,0.6588,0,1,2,5,4
657945,679005,0.6333317756652832,0.8827673196792603,1,0.0,0.3019,0,1,0,0,7
657669,756188,-0.0065087266266345,0.9250540137290956,1,0.0,0.6667,0,0,1,10,3
657935,796980,0.6379634141921997,0.9004025459289551,1,0.0,1.2862,0,3,2,13,6
657670,698968,0.2349458932876587,0.8573707342147827,1,0.0,1.0667,0,0,3,5,2
657673,819762,0.465867817401886,0.9021207094192504,1,0.0,0.5446,1,0,2,8,3
657685,843216,0.4486858546733856,0.8877391815185547,1,0.0,0.4864,0,0,1,6,3
657740,803190,0.6182663440704346,0.8875083923339844,1,0.0,0.0645,0,0,0,2,0
657999,738570,0.408047616481781,0.8925472497940063,1,0.0,0.304,0,0,1,1,1
657822,695159,0.5127959847450256,0.9172519445419312,1,0.0,0.7995,0,0,1,2,2
658001,778275,0.4644764959812164,0.9179424047470092,1,0.0,0.312,0,1,0,5,1
